timestamp_ms,query_id,total_ms,dispatch_ms
1778766607884,"akka://LatencyBreakdownBenchmark/user/SysWarmupAgent-1",2758.717,60.997
1778766610845,"akka://LatencyBreakdownBenchmark/user/SysWarmupAgent-2",1752.108,0.926
1778766613609,"akka://LatencyBreakdownBenchmark/user/SysWarmupAgent-3",1686.791,0.968
1778766619869,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_1-1",5185.504,0.699
1778766628178,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_1-2",4803.666,0.812
1778766636176,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_1-3",4707.306,0.725
1778766643874,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-1",4534.942,0.612
1778766651621,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-2",4693.013,0.637
1778766659273,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-3",4505.223,0.646
1778766666905,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-4",4574.554,0.538
1778766674744,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-5",4752.897,0.528
1778766682844,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-6",5083.847,0.555
1778766690181,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-7",4430.678,0.529
1778766697748,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-8",4576.428,0.562
1778766705185,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-9",4455.523,0.516
1778766712816,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_1-10",4544.476,0.488
1778766717565,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_2-1",1661.307,0.597
1778766721346,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_2-2",1761.068,0.566
1778766725007,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_2-3",1642.636,0.523
1778766729049,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-1",2021.017,0.596
1778766732734,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-2",1666.655,0.456
1778766736426,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-3",1673.781,0.456
1778766740200,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-4",1758.857,0.477
1778766743879,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-5",1659.212,0.724
1778766747522,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-6",1625.455,0.455
1778766751239,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-7",1696.112,0.465
1778766754904,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-8",1647.507,0.392
1778766758973,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-9",2051.553,0.387
1778766762666,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_2-10",1676.969,0.524
1778766766297,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_3-1",1614.119,0.561
1778766770027,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_3-2",1712.199,0.546
1778766773614,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_3-3",1572.120,0.392
1778766777266,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-1",1635.291,0.429
1778766780898,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-2",1616.820,0.459
1778766784475,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-3",1562.049,0.452
1778766788400,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-4",1908.786,0.409
1778766792045,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-5",1630.465,0.409
1778766795637,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-6",1578.477,0.455
1778766799689,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-7",2036.585,0.401
1778766803286,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-8",1579.813,0.445
1778766806906,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-9",1605.888,0.475
1778766810610,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_3-10",1687.441,0.336
1778766814221,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_4-1",1595.930,0.305
1778766817814,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_4-2",1575.702,0.356
1778766821492,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_4-3",1661.494,0.309
1778766825107,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-1",1597.516,0.366
1778766829089,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-2",1963.628,0.383
1778766832717,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-3",1610.230,0.296
1778766836294,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-4",1560.735,0.408
1778766840054,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-5",1743.355,0.267
1778766843634,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-6",1563.104,0.277
1778766847257,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-7",1607.037,0.400
1778766850961,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-8",1688.065,0.379
1778766854585,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-9",1607.911,0.383
1778766858483,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_4-10",1881.491,0.300
1778766862069,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_5-1",1570.192,0.379
1778766865654,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_5-2",1575.899,0.263
1778766869571,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_2_5-3",1908.451,0.255
1778766873164,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_5-1",1583.341,0.276
1778766876701,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_2_5-2",1528.275,0.274
