timestamp_ms,query_id,thread_pool_size,bucket_size,actors_spawned,first_rs_rows,second_rs_rows,join_time_ms
1778767731841,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_8_1-1",16,1000,1000,23,1,281.073
1778767735520,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_8_1-2",16,1000,1000,23,1,135.614
1778767739600,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_8_1-3",16,1000,1000,23,1,138.773
1778767743257,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-1",16,1000,1000,23,1,127.614
1778767746841,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-2",16,1000,1000,23,1,91.493
1778767750483,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-3",16,1000,1000,23,1,98.825
1778767754111,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-4",16,1000,1000,23,1,109.219
1778767757773,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-5",16,1000,1000,23,1,104.490
1778767761452,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-6",16,1000,1000,23,1,94.098
1778767765069,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-7",16,1000,1000,23,1,96.408
1778767769016,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-8",16,1000,1000,23,1,86.124
1778767772659,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-9",16,1000,1000,23,1,82.382
1778767776249,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_1-10",16,1000,1000,23,1,91.484
1778767780257,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_8_2-1",16,1000,1000,1397,1271,958.646
1778767784099,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_8_2-2",16,1000,1000,1397,1271,775.962
1778767787930,"akka://LatencyBreakdownBenchmark/user/WarmupAgent-A_8_2-3",16,1000,1000,1397,1271,764.934
1778767791728,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-1",16,1000,1000,1397,1271,773.664
1778767795599,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-2",16,1000,1000,1397,1271,800.769
1778767799399,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-3",16,1000,1000,1397,1271,771.907
1778767803199,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-4",16,1000,1000,1397,1271,775.424
1778767807004,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-5",16,1000,1000,1397,1271,777.078
1778767810796,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-6",16,1000,1000,1397,1271,770.236
1778767814668,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-7",16,1000,1000,1397,1271,835.413
1778767818463,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-8",16,1000,1000,1397,1271,774.149
1778767822289,"akka://LatencyBreakdownBenchmark/user/MeasureAgent-A_8_2-9",16,1000,1000,1397,1271,801.262
