timestamp_ms,query_id,thread_pool_size,bucket_size,actors_spawned,first_rs_rows,second_rs_rows,join_time_ms
1778528697995,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-1",16,10,10,23,1,209.723
1778528709330,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",16,10,10,5854,9118,2243.450
1778528712761,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",16,10,10,43830,1397,4555.995
1778528714560,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",16,10,10,1096,1819,1469.080
1778528716915,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-3",16,10,10,13,2,30.710
1778528718197,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-1",16,10,10,13,2,17.387
1778528720435,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-2",16,10,10,13,2,12.252
1778528722781,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-3",16,10,10,13,2,95.046
1778528725115,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-1",16,10,10,13,2,24.120
1778528727373,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-2",16,10,10,13,2,17.727
1778528729627,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-3",16,10,10,13,2,10.228
1778528731901,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-4",16,10,10,13,2,20.134
1778528734156,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-5",16,10,10,13,2,27.584
1778528736404,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-6",16,10,10,13,2,17.938
1778528738646,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-7",16,10,10,13,2,12.016
1778528740926,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-8",16,10,10,13,2,42.179
1778528743190,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-9",16,10,10,13,2,19.102
1778528745438,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-10",16,10,10,13,2,12.732
