timestamp_ms,query_id,thread_pool_size,bucket_size,actors_spawned,first_rs_rows,second_rs_rows,join_time_ms
1778507293168,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-1",1,100,100,23,1,75.086
1778507296230,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",1,100,100,9118,5854,861.274
1778507296796,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",1,100,100,1819,1397,513.051
1778507300566,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",1,100,100,43830,119,1945.793
1778507301950,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-3",1,100,100,13,2,32.522
1778507303038,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-1",1,100,100,13,2,37.699
1778507305107,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-2",1,100,100,13,2,33.220
1778507307181,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-3",1,100,100,13,2,38.983
1778507309245,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-1",1,100,100,13,2,33.082
1778507311316,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-2",1,100,100,13,2,35.361
1778507313387,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-3",1,100,100,13,2,36.909
1778507315450,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-4",1,100,100,13,2,23.625
1778507317474,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-5",1,100,100,13,2,11.169
1778507319521,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-6",1,100,100,13,2,13.471
1778507321564,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-7",1,100,100,13,2,14.575
1778507323603,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-8",1,100,100,13,2,12.095
1778507387346,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-1",2,100,100,23,1,89.919
1778507390093,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",2,100,100,5854,9118,757.536
1778507390682,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",2,100,100,1397,1819,431.693
1778507394046,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",2,100,100,43830,119,1542.615
1778507395467,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-3",2,100,100,13,2,14.236
1778507396509,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-1",2,100,100,13,2,13.562
1778507398550,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-2",2,100,100,13,2,12.881
1778507400588,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-3",2,100,100,13,2,10.880
1778507402629,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-1",2,100,100,13,2,12.911
1778507404670,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-2",2,100,100,13,2,11.887
1778507406711,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-3",2,100,100,13,2,13.833
1778507408744,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-4",2,100,100,13,2,11.528
1778507410790,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-5",2,100,100,13,2,20.057
1778507412833,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-6",2,100,100,13,2,16.679
1778507414869,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-7",2,100,100,13,2,10.614
1778507416908,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-8",2,100,100,13,2,13.126
1778507418949,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-9",2,100,100,13,2,14.291
1778507420991,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-10",2,100,100,13,2,14.185
1778507424551,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-1",2,100,100,23,1,20.058
1778507428272,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-2",2,100,100,23,1,15.742
1778507431800,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-3",2,100,100,23,1,21.467
1778507435329,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-1",2,100,100,23,1,23.370
1778507439048,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-2",2,100,100,23,1,10.086
1778507442565,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-3",2,100,100,23,1,17.885
1778507446373,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-4",2,100,100,23,1,14.014
1778507450048,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-5",2,100,100,23,1,13.061
1778507453606,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-6",2,100,100,23,1,11.744
1778507457558,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-7",2,100,100,23,1,19.298
1778507461109,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-8",2,100,100,23,1,15.555
1778507464703,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-9",2,100,100,23,1,29.376
1778507468378,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-10",2,100,100,23,1,18.514
1778507471196,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",2,100,100,5854,9118,406.582
1778507471601,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",2,100,100,1819,1397,353.259
1778507474480,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-1",2,100,100,43830,119,1275.355
1778507477506,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",2,100,100,5854,9118,402.221
1778507477917,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",2,100,100,1819,1397,360.780
1778507480756,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-2",2,100,100,43830,119,1240.172
1778507483797,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",2,100,100,5854,9118,419.323
1778507484206,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",2,100,100,1819,1397,358.506
1778507487028,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_7-3",2,100,100,43830,119,1276.035
1778507490038,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",2,100,100,5854,9118,400.837
1778507490450,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",2,100,100,1819,1397,360.555
1778507493479,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-1",2,100,100,43830,119,1447.596
1778507496516,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",2,100,100,5854,9118,415.180
1778507496931,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",2,100,100,1819,1397,358.530
1778507500015,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-2",2,100,100,43830,119,1475.625
1778507503053,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",2,100,100,5854,9118,423.645
1778507503461,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",2,100,100,1819,1397,357.789
1778507506394,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-3",2,100,100,43830,119,1342.286
1778507509404,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",2,100,100,5854,9118,392.090
1778507509812,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",2,100,100,1819,1397,357.697
1778507512695,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_7-4",2,100,100,43830,119,1340.140
