timestamp_ms,reporter_node,observed_node,shard_count,entity_count
1778155961311,127.0.0.1:2551,127.0.0.1:2551,0,0
1778155966262,127.0.0.1:2551,127.0.0.1:2551,0,0
1778155971272,127.0.0.1:2551,127.0.0.1:2551,0,0
1778155976260,127.0.0.1:2551,127.0.0.1:2551,0,0
1778155981260,127.0.0.1:2551,127.0.0.1:2551,0,0
1778155986263,127.0.0.1:2551,127.0.0.1:2551,1,0
1778155991263,127.0.0.1:2551,127.0.0.1:2551,2,0
1778156016618,akka://Querying@127.0.0.1:2551,(empty),0,0
1778156016754,127.0.0.1:2551,127.0.0.1:2551,10,7
1778156016770,127.0.0.1:2551,127.0.0.1:2551,10,7
1778156016770,127.0.0.1:2551,127.0.0.1:2551,10,7
1778156016781,127.0.0.1:2551,127.0.0.1:2551,10,6
1778156021254,127.0.0.1:2551,127.0.0.1:2551,10,4
1778156026267,127.0.0.1:2551,127.0.0.1:2551,10,3
1778156031288,127.0.0.1:2551,127.0.0.1:2551,10,2
1778156036265,127.0.0.1:2551,127.0.0.1:2551,10,0
1778156044884,127.0.0.1:2551,127.0.0.1:2551,16,8
1778156051240,127.0.0.1:2551,127.0.0.1:2551,16,8
1778156051273,127.0.0.1:2551,127.0.0.1:2551,16,8
1778156056255,127.0.0.1:2551,127.0.0.1:2551,16,6
1778156061270,127.0.0.1:2551,127.0.0.1:2551,16,4
1778156066257,127.0.0.1:2551,127.0.0.1:2551,16,3
1778156071269,127.0.0.1:2551,127.0.0.1:2551,16,2
1778156076272,127.0.0.1:2551,127.0.0.1:2551,16,0
1778156087215,127.0.0.1:2551,127.0.0.1:2551,22,8
1778156089677,127.0.0.1:2551,127.0.0.1:2551,22,8
1778156091248,127.0.0.1:2551,127.0.0.1:2551,22,5
1778156096260,127.0.0.1:2551,127.0.0.1:2551,22,5
1778156101259,127.0.0.1:2551,127.0.0.1:2551,22,4
1778156106262,127.0.0.1:2551,127.0.0.1:2551,22,4
1778156111263,127.0.0.1:2551,127.0.0.1:2551,22,4
1778156116266,127.0.0.1:2551,127.0.0.1:2551,22,1
1778156130809,127.0.0.1:2551,127.0.0.1:2551,26,7
1778156130811,127.0.0.1:2551,127.0.0.1:2551,26,7
1778156131960,127.0.0.1:2551,127.0.0.1:2551,26,7
1778156136251,127.0.0.1:2551,127.0.0.1:2551,26,5
1778156141259,127.0.0.1:2551,127.0.0.1:2551,26,4
