config,concurrency,repeat,total_queries,completed,failed,total_time_ms,throughput_qps,mean_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms
1node,10,1,10,10,0,18038,0.5544,4316.71,5505.60,174.34,18012.77
1node,10,2,10,10,0,17098,0.5849,3098.69,5564.92,350.51,17076.26
1node,10,3,10,10,0,17817,0.5613,3096.51,5706.03,266.19,17785.11
1node,10,4,10,10,0,16724,0.5980,3086.72,5431.95,170.49,16687.87
1node,10,5,10,10,0,16460,0.6075,3052.65,5537.13,228.09,16438.72
1node,20,1,20,20,0,28447,0.7031,6412.09,8309.72,171.74,28429.08
1node,20,2,20,20,0,28735,0.6960,5720.48,8521.91,163.86,28713.75
1node,20,3,20,20,0,30041,0.6658,6388.85,9244.72,185.75,30000.03
1node,20,4,20,20,0,30151,0.6633,5187.91,8980.51,178.01,30119.55
1node,20,5,20,20,0,30230,0.6616,5388.40,9102.65,148.41,30192.71
1node,30,1,30,30,0,45476,0.6597,11618.89,13472.14,274.26,45424.81
1node,30,2,30,30,0,47789,0.6278,9315.25,14364.03,152.30,47741.57
1node,30,3,30,30,0,40839,0.7346,8262.24,11748.28,247.65,40737.01
1node,30,4,30,30,0,47756,0.6282,10549.55,13555.94,268.41,47683.91
1node,30,5,30,30,0,44217,0.6785,8531.43,13541.88,221.59,44170.42
