config,concurrency,repeat,total_queries,completed,failed,total_time_ms,throughput_qps,mean_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms
1node,10,1,10,10,0,11157,0.8963,2355.40,3625.51,36.28,11147.72
1node,10,2,10,10,0,9254,1.0806,1718.93,3184.92,36.95,9247.24
1node,10,3,10,10,0,8661,1.1546,1649.38,3031.86,33.06,8656.82
1node,10,4,10,10,0,8567,1.1673,1631.86,2995.10,25.76,8562.62
1node,10,5,10,10,0,8624,1.1596,1676.47,3067.13,24.54,8619.97
1node,20,1,20,20,0,10997,1.8187,2113.49,3732.44,41.17,10993.03
1node,20,2,20,20,0,12137,1.6479,2130.70,3964.60,28.34,12129.99
1node,20,3,20,20,0,12244,1.6334,2154.63,3983.14,21.01,12237.19
1node,20,4,20,20,0,12121,1.6500,2116.19,3938.59,21.80,12114.74
1node,20,5,20,20,0,11431,1.7496,2101.96,3810.34,22.10,11427.60
1node,30,1,30,30,0,15867,1.8907,3159.62,4896.95,29.11,15863.46
1node,30,2,30,30,0,15591,1.9242,3040.75,4860.63,30.96,15583.66
1node,30,3,30,30,0,16279,1.8428,3145.51,5048.82,20.84,16273.46
1node,30,4,30,30,0,15807,1.8979,3174.95,4811.13,23.48,15800.76
1node,30,5,30,30,0,16118,1.8613,3306.64,4984.82,17.09,16111.16
