timestamp_ms,reporter_node,observed_node,shard_count,entity_count
1778161709443,155.223.25.1:2551,155.223.25.1:2551,0,0
1778161714453,155.223.25.1:2551,155.223.25.1:2551,0,0
1778161714453,155.223.25.1:2551,155.223.25.2:2551,0,0
1778161719436,155.223.25.1:2551,155.223.25.1:2551,0,0
1778161719436,155.223.25.1:2551,155.223.25.2:2551,0,0
1778161724435,155.223.25.1:2551,155.223.25.1:2551,0,0
1778161724435,155.223.25.1:2551,155.223.25.2:2551,0,0
1778161729434,155.223.25.1:2551,155.223.25.1:2551,0,0
1778161729434,155.223.25.1:2551,155.223.25.2:2551,0,0
1778161734435,155.223.25.1:2551,155.223.25.1:2551,0,0
1778161734435,155.223.25.1:2551,155.223.25.2:2551,0,0
1778161739451,155.223.25.1:2551,155.223.25.1:2551,6,3
1778161739451,155.223.25.1:2551,155.223.25.2:2551,5,3
1778161744435,155.223.25.1:2551,155.223.25.1:2551,6,1
1778161744435,155.223.25.1:2551,155.223.25.2:2551,5,1
1778161749434,155.223.25.1:2551,155.223.25.1:2551,6,1
1778161749434,155.223.25.1:2551,155.223.25.2:2551,5,0
1778161754435,155.223.25.1:2551,155.223.25.1:2551,9,2
1778161754435,155.223.25.1:2551,155.223.25.2:2551,9,1
1778161759484,155.223.25.1:2551,155.223.25.1:2551,9,1
1778161759484,155.223.25.1:2551,155.223.25.2:2551,9,0
1778161764425,155.223.25.1:2551,155.223.25.1:2551,9,0
1778161764425,155.223.25.1:2551,155.223.25.2:2551,9,0
1778161772451,akka://Querying@155.223.25.1:2551,(empty),0,0
1778161774433,155.223.25.1:2551,155.223.25.1:2551,23,0
1778161779432,155.223.25.1:2551,155.223.25.1:2551,23,0
1778229735463,155.223.25.1:2551,155.223.25.1:2551,0,0
1778229740450,155.223.25.1:2551,155.223.25.1:2551,0,0
1778229745476,155.223.25.1:2551,155.223.25.1:2551,2,0
1778229745476,155.223.25.1:2551,155.223.25.2:2551,1,0
1778229750453,155.223.25.1:2551,155.223.25.1:2551,6,1
1778229750453,155.223.25.1:2551,155.223.25.2:2551,5,1
1778229755454,155.223.25.1:2551,155.223.25.1:2551,6,1
1778229755454,155.223.25.1:2551,155.223.25.2:2551,5,0
1778229760457,155.223.25.1:2551,155.223.25.1:2551,9,1
1778229760457,155.223.25.1:2551,155.223.25.2:2551,9,4
1778229765454,155.223.25.1:2551,155.223.25.1:2551,9,1
1778229765454,155.223.25.1:2551,155.223.25.2:2551,9,1
1778229770453,155.223.25.1:2551,155.223.25.1:2551,9,0
1778229770453,155.223.25.1:2551,155.223.25.2:2551,9,1
1778229775453,155.223.25.1:2551,155.223.25.1:2551,9,0
1778229775453,155.223.25.1:2551,155.223.25.2:2551,9,0
1778229780452,155.223.25.1:2551,155.223.25.1:2551,12,1
1778229780452,155.223.25.1:2551,155.223.25.2:2551,11,1
1778229785453,155.223.25.1:2551,155.223.25.1:2551,12,0
1778229785453,155.223.25.1:2551,155.223.25.2:2551,11,1
1778229790453,155.223.25.1:2551,155.223.25.1:2551,14,2
1778229790453,155.223.25.1:2551,155.223.25.2:2551,13,1
1778229796029,155.223.25.1:2551,155.223.25.1:2551,14,1
1778229796029,155.223.25.1:2551,155.223.25.2:2551,13,0
1778229800453,155.223.25.1:2551,155.223.25.1:2551,14,0
1778229800453,155.223.25.1:2551,155.223.25.2:2551,13,0
1778229805452,155.223.25.1:2551,155.223.25.1:2551,15,0
1778229805452,155.223.25.1:2551,155.223.25.2:2551,15,2
1778229810453,155.223.25.1:2551,155.223.25.1:2551,15,0
1778229810453,155.223.25.1:2551,155.223.25.2:2551,15,1
1778229815452,155.223.25.1:2551,155.223.25.1:2551,15,0
1778229815452,155.223.25.1:2551,155.223.25.2:2551,15,0
1778229820453,155.223.25.1:2551,155.223.25.1:2551,17,2
1778229820453,155.223.25.1:2551,155.223.25.2:2551,16,2
1778229825452,155.223.25.1:2551,155.223.25.1:2551,17,0
1778229825452,155.223.25.1:2551,155.223.25.2:2551,16,1
1778229830468,155.223.25.1:2551,155.223.25.1:2551,18,9
1778229830468,155.223.25.1:2551,155.223.25.2:2551,17,8
1778229835454,155.223.25.1:2551,155.223.25.1:2551,18,1
1778229835454,155.223.25.1:2551,155.223.25.2:2551,17,3
1778229840453,155.223.25.1:2551,155.223.25.1:2551,18,0
1778229840453,155.223.25.1:2551,155.223.25.2:2551,17,1
1778229845453,155.223.25.1:2551,155.223.25.1:2551,18,0
1778229845453,155.223.25.1:2551,155.223.25.2:2551,17,0
1778229850454,155.223.25.1:2551,155.223.25.1:2551,19,2
1778229850454,155.223.25.1:2551,155.223.25.2:2551,18,2
1778229855453,155.223.25.1:2551,155.223.25.1:2551,19,1
1778229855453,155.223.25.1:2551,155.223.25.2:2551,18,1
1778229860471,155.223.25.1:2551,155.223.25.1:2551,19,3
1778229860471,155.223.25.1:2551,155.223.25.2:2551,18,3
1778229865452,155.223.25.1:2551,155.223.25.1:2551,19,1
