config,concurrency,repeat,total_queries,completed,failed,total_time_ms,throughput_qps,mean_latency_ms,std_latency_ms,min_latency_ms,max_latency_ms
2node,10,1,10,10,0,11130,0.8985,2689.73,4008.48,38.05,11118.49
2node,10,2,10,10,0,12481,0.8012,2529.85,4331.83,28.98,12474.41
2node,10,3,10,10,0,11172,0.8951,2093.03,3879.25,18.08,11168.18
2node,10,4,10,10,0,8590,1.1641,1754.18,3195.61,26.09,8584.32
2node,10,5,10,10,0,11430,0.8749,2256.25,4180.88,24.42,11424.49
2node,20,1,20,20,0,11472,1.7433,2214.33,3793.55,25.95,11467.91
2node,20,2,20,20,0,12196,1.6399,2299.56,4023.28,30.78,12190.37
2node,20,3,20,20,0,11398,1.7547,2234.57,3890.80,23.21,11391.59
2node,20,4,20,20,0,12026,1.6631,2322.26,4088.88,22.31,12019.47
2node,20,5,20,20,0,11699,1.7095,2253.18,3955.07,21.02,11692.86
2node,30,1,30,30,0,16763,1.7897,2832.41,5024.05,30.17,16758.26
2node,30,2,30,30,0,13518,2.2193,2486.09,4307.68,27.15,13512.43
2node,30,3,30,30,0,12915,2.3228,2579.90,4348.71,19.33,12908.01
2node,30,4,30,30,0,12987,2.3100,2472.65,4203.21,24.13,12983.95
2node,30,5,30,30,0,13851,2.1659,2562.71,4407.44,13.04,13844.95
