timestamp_ms,query_id,thread_pool_size,bucket_size,actors_spawned,first_rs_rows,second_rs_rows,join_time_ms
1778508710070,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-1",16,100,100,23,1,70.637
1778508712910,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",16,100,100,5854,9118,757.771
1778508713466,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",16,100,100,1819,1397,499.779
1778508715487,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-2",16,100,100,43830,119,1477.444
1778508716910,"akka://ParallelJoinBenchmark/user/SysWarmupAgent-3",16,100,100,13,2,26.413
1778508717963,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-1",16,100,100,13,2,14.906
1778508720009,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-2",16,100,100,13,2,14.387
1778508722051,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_5-3",16,100,100,13,2,16.546
1778508724096,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-1",16,100,100,13,2,19.178
1778508726138,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-2",16,100,100,2,13,13.027
1778508728180,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-3",16,100,100,13,2,16.646
1778508730218,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-4",16,100,100,13,2,12.413
1778508732261,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-5",16,100,100,13,2,17.430
1778508734302,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-6",16,100,100,13,2,13.635
1778508736327,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-7",16,100,100,13,2,8.397
1778508738364,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-8",16,100,100,13,2,15.271
1778508740419,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-9",16,100,100,13,2,31.180
1778508742482,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_5-10",16,100,100,13,2,37.725
1778508746377,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-1",16,100,100,23,1,37.352
1778508749991,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-2",16,100,100,23,1,41.191
1778508753570,"akka://ParallelJoinBenchmark/user/WarmupAgent-A_8_1-3",16,100,100,23,1,29.307
1778508757520,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-1",16,100,100,23,1,20.068
1778508761082,"akka://ParallelJoinBenchmark/user/MeasureAgent-A_8_1-2",16,100,100,23,1,34.142
