timestamp_ms,node,cpu_load_avg,cpu_combined,heap_used_mb,heap_committed_mb,heap_max_mb,processors
1778503519668,127.0.0.1:2551,1.4000,0.0330,84.33,500.00,8192.00,20
1778503519677,127.0.0.1:2551,1.4000,0.0330,84.33,500.00,8192.00,20
1778503522685,127.0.0.1:2551,1.4000,0.0307,84.65,500.00,8192.00,20
1778503522686,127.0.0.1:2551,1.4000,0.0307,84.65,500.00,8192.00,20
1778503525702,127.0.0.1:2551,1.2900,0.0276,84.92,500.00,8192.00,20
1778503525703,127.0.0.1:2551,1.2900,0.0276,84.92,500.00,8192.00,20
1778503528723,127.0.0.1:2551,1.2900,0.0248,85.14,500.00,8192.00,20
1778503528724,127.0.0.1:2551,1.2900,0.0248,85.14,500.00,8192.00,20
1778503531742,127.0.0.1:2551,1.1900,0.0224,85.33,500.00,8192.00,20
1778503531743,127.0.0.1:2551,1.1900,0.0224,85.33,500.00,8192.00,20
1778503534762,127.0.0.1:2551,1.0900,0.0232,85.49,500.00,8192.00,20
1778503534762,127.0.0.1:2551,1.0900,0.0232,85.49,500.00,8192.00,20
1778503537782,127.0.0.1:2551,1.0900,0.0270,85.94,500.00,8192.00,20
1778503537783,127.0.0.1:2551,1.0900,0.0270,85.94,500.00,8192.00,20
1778503540802,127.0.0.1:2551,1.0100,0.0314,86.32,500.00,8192.00,20
1778503540803,127.0.0.1:2551,1.0100,0.0314,86.32,500.00,8192.00,20
1778503543821,127.0.0.1:2551,1.0100,0.0305,86.64,500.00,8192.00,20
1778503543822,127.0.0.1:2551,1.0100,0.0305,86.64,500.00,8192.00,20
1778503546841,127.0.0.1:2551,0.9200,0.0518,86.91,500.00,8192.00,20
1778503546841,127.0.0.1:2551,0.9200,0.0518,86.91,500.00,8192.00,20
1778503549862,127.0.0.1:2551,0.9300,0.0514,87.14,500.00,8192.00,20
1778503549863,127.0.0.1:2551,0.9300,0.0514,87.14,500.00,8192.00,20
1778503552882,127.0.0.1:2551,0.9300,0.0492,87.33,500.00,8192.00,20
1778503552883,127.0.0.1:2551,0.9300,0.0492,87.33,500.00,8192.00,20
1778503555902,127.0.0.1:2551,0.9400,0.0486,87.49,500.00,8192.00,20
1778503555904,127.0.0.1:2551,0.9400,0.0486,87.49,500.00,8192.00,20
1778503558922,127.0.0.1:2551,0.9400,0.0462,87.94,500.00,8192.00,20
1778503558923,127.0.0.1:2551,0.9400,0.0462,87.94,500.00,8192.00,20
1778503561942,127.0.0.1:2551,0.8600,0.0429,88.32,500.00,8192.00,20
1778503561943,127.0.0.1:2551,0.8600,0.0429,88.32,500.00,8192.00,20
1778503564961,127.0.0.1:2551,0.8700,0.0420,88.64,500.00,8192.00,20
1778503564961,127.0.0.1:2551,0.8700,0.0420,88.64,500.00,8192.00,20
1778503567982,127.0.0.1:2551,0.8700,0.0436,88.91,500.00,8192.00,20
1778503567983,127.0.0.1:2551,0.8700,0.0436,88.91,500.00,8192.00,20
1778503571002,127.0.0.1:2551,0.8000,0.0417,89.14,500.00,8192.00,20
1778503571003,127.0.0.1:2551,0.8000,0.0417,89.14,500.00,8192.00,20
1778503574022,127.0.0.1:2551,0.8000,0.0398,89.33,500.00,8192.00,20
1778503574023,127.0.0.1:2551,0.8000,0.0398,89.33,500.00,8192.00,20
1778503577041,127.0.0.1:2551,0.7400,0.0378,89.49,500.00,8192.00,20
1778503577043,127.0.0.1:2551,0.7400,0.0378,89.49,500.00,8192.00,20
1778503580061,127.0.0.1:2551,0.6800,0.0350,89.62,500.00,8192.00,20
1778503580063,127.0.0.1:2551,0.6800,0.0350,89.62,500.00,8192.00,20
1778503583081,127.0.0.1:2551,0.6800,0.0339,89.73,500.00,8192.00,20
1778503583082,127.0.0.1:2551,0.6800,0.0339,89.73,500.00,8192.00,20
1778503586101,127.0.0.1:2551,0.6200,0.0328,89.83,500.00,8192.00,20
1778503586102,127.0.0.1:2551,0.6200,0.0328,89.83,500.00,8192.00,20
1778503589121,127.0.0.1:2551,0.6200,0.0311,89.91,500.00,8192.00,20
1778503589122,127.0.0.1:2551,0.6200,0.0311,89.91,500.00,8192.00,20
1778503592142,127.0.0.1:2551,0.5700,0.0346,89.98,500.00,8192.00,20
1778503592142,127.0.0.1:2551,0.5700,0.0346,89.98,500.00,8192.00,20
1778503595162,127.0.0.1:2551,0.5300,0.0306,90.03,500.00,8192.00,20
1778503595163,127.0.0.1:2551,0.5300,0.0306,90.03,500.00,8192.00,20
1778503598182,127.0.0.1:2551,0.5300,0.0279,90.08,500.00,8192.00,20
1778503598183,127.0.0.1:2551,0.5300,0.0279,90.08,500.00,8192.00,20
1778503601201,127.0.0.1:2551,0.4800,0.0281,90.44,500.00,8192.00,20
1778503601202,127.0.0.1:2551,0.4800,0.0281,90.44,500.00,8192.00,20
1778503604222,127.0.0.1:2551,0.4800,0.0276,90.74,500.00,8192.00,20
1778503604223,127.0.0.1:2551,0.4800,0.0276,90.74,500.00,8192.00,20
1778503607242,127.0.0.1:2551,0.4500,0.0280,90.99,500.00,8192.00,20
1778503607243,127.0.0.1:2551,0.4500,0.0280,90.99,500.00,8192.00,20
1778503610260,127.0.0.1:2551,1.4500,0.0564,91.21,500.00,8192.00,20
1778503610261,127.0.0.1:2551,1.4500,0.0564,91.21,500.00,8192.00,20
1778503613282,127.0.0.1:2551,1.4500,0.0570,94.14,527.68,8192.00,20
1778503613283,127.0.0.1:2551,1.4500,0.0570,94.14,527.68,8192.00,20
1778503617530,127.0.0.1:2551,1.4100,0.0784,106.21,572.60,8192.00,20
1778503617530,127.0.0.1:2551,1.4100,0.0784,106.21,572.60,8192.00,20
1778503622004,127.0.0.1:2551,1.3800,0.0889,268.11,1021.82,8192.00,20
1778503622005,127.0.0.1:2551,1.3800,0.0889,268.11,1021.82,8192.00,20
1778503625022,127.0.0.1:2551,1.2700,0.0804,443.08,1399.56,8192.00,20
1778503625023,127.0.0.1:2551,1.2700,0.0804,443.08,1399.56,8192.00,20
1778503628041,127.0.0.1:2551,1.2700,0.0697,606.43,1717.20,8192.00,20
1778503628041,127.0.0.1:2551,1.2700,0.0697,606.43,1717.20,8192.00,20
1778503631061,127.0.0.1:2551,1.1700,0.0612,775.62,1984.30,8192.00,20
1778503631062,127.0.0.1:2551,1.1700,0.0612,775.62,1984.30,8192.00,20
1778503634082,127.0.0.1:2551,1.1700,0.0536,934.43,2208.91,8192.00,20
1778503634082,127.0.0.1:2551,1.1700,0.0536,934.43,2208.91,8192.00,20
1778503637101,127.0.0.1:2551,1.0700,0.0482,1100.12,2397.78,8192.00,20
1778503637102,127.0.0.1:2551,1.0700,0.0482,1100.12,2397.78,8192.00,20
1778503640121,127.0.0.1:2551,0.9900,0.0425,1255.35,2556.60,8192.00,20
1778503640122,127.0.0.1:2551,0.9900,0.0425,1255.35,2556.60,8192.00,20
1778503643142,127.0.0.1:2551,0.9900,0.0401,1418.03,2690.15,8192.00,20
1778503643142,127.0.0.1:2551,0.9900,0.0401,1418.03,2690.15,8192.00,20
1778503646161,127.0.0.1:2551,1.0700,0.0391,1571.37,2802.46,8192.00,20
1778503646161,127.0.0.1:2551,1.0700,0.0391,1571.37,2802.46,8192.00,20
1778503649182,127.0.0.1:2551,1.0700,0.0384,1507.82,2896.89,8192.00,20
1778503649182,127.0.0.1:2551,1.0700,0.0384,1507.82,2896.89,8192.00,20
