timestamp_ms,reporter_node,observed_node,shard_count,entity_count
1778503521679,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503526663,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503531662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503536663,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503541663,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503546662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503551662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503556663,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503561663,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503566662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503571663,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503576662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503581662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503586662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503591664,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503596662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503601662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503606663,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503611662,127.0.0.1:2551,127.0.0.1:2551,0,0
1778503618166,127.0.0.1:2551,127.0.0.1:2551,2,1
1778503622005,127.0.0.1:2551,127.0.0.1:2551,2,0
1778503626663,127.0.0.1:2551,127.0.0.1:2551,5,0
1778503631664,127.0.0.1:2551,127.0.0.1:2551,7,0
1778503636664,127.0.0.1:2551,127.0.0.1:2551,10,0
1778503641664,127.0.0.1:2551,127.0.0.1:2551,12,0
1778503646662,127.0.0.1:2551,127.0.0.1:2551,13,0
1778503651663,127.0.0.1:2551,127.0.0.1:2551,16,1
1778503656663,127.0.0.1:2551,127.0.0.1:2551,17,0
1778503661663,127.0.0.1:2551,127.0.0.1:2551,18,1
1778503666663,127.0.0.1:2551,127.0.0.1:2551,18,1
1778503671662,127.0.0.1:2551,127.0.0.1:2551,18,0
1778503676663,127.0.0.1:2551,127.0.0.1:2551,20,1
1778503681665,127.0.0.1:2551,127.0.0.1:2551,21,0
1778503686663,127.0.0.1:2551,127.0.0.1:2551,22,0
1778503691664,127.0.0.1:2551,127.0.0.1:2551,24,1
1778503696663,127.0.0.1:2551,127.0.0.1:2551,24,0
1778503702573,127.0.0.1:2551,127.0.0.1:2551,24,0
1778503706671,127.0.0.1:2551,127.0.0.1:2551,25,1
1778503712927,127.0.0.1:2551,127.0.0.1:2551,25,1
1778503716664,127.0.0.1:2551,127.0.0.1:2551,25,0
1778503723076,127.0.0.1:2551,127.0.0.1:2551,25,0
1778503726667,127.0.0.1:2551,127.0.0.1:2551,25,1
1778503731662,127.0.0.1:2551,127.0.0.1:2551,25,0
1778503736835,127.0.0.1:2551,127.0.0.1:2551,25,0
1778503743788,127.0.0.1:2551,127.0.0.1:2551,26,0
1778503747273,127.0.0.1:2551,127.0.0.1:2551,26,1
1778503751653,127.0.0.1:2551,127.0.0.1:2551,26,0
1778503757248,127.0.0.1:2551,127.0.0.1:2551,27,0
1778503764088,127.0.0.1:2551,127.0.0.1:2551,27,0
1778503767536,127.0.0.1:2551,127.0.0.1:2551,27,1
1778503771652,127.0.0.1:2551,127.0.0.1:2551,27,0
1778503777381,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503783999,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503786652,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503791661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503796662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503801663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503806662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503811663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503816662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503821660,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503826663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503831661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503836662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503841661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503846661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503851662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503856662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503861662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503866662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503871662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503876662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503881662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503886662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503891662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503896663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503901662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503906662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503911663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503916662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503921661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503926662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503931662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503936661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503941662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503946662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503951661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503956661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503961661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503966661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503971662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503976662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503981662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503986661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503991661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778503996662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504001661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504006660,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504011662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504016662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504021663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504026662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504031663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504036662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504041662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504046662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504051662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504056663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504061662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504066662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504071663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504076663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504081662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504086663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504091663,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504096662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504101662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504106662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504111662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504116662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504121661,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504126662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504131662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504136662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504141662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504146662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504151662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504156662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504161662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504166662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504171662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504176662,127.0.0.1:2551,127.0.0.1:2551,28,0
1778504181661,127.0.0.1:2551,127.0.0.1:2551,28,0
